date,category,amount,description
2026-07-03,Food,450,Groceries - big bazaar
2026-07-05,Transport,120,Auto fare
2026-07-08,Food,300,Restaurant dinner
2026-07-10,Entertainment,600,Movie tickets
2026-07-12,Food,250,Groceries
2026-07-15,Bills,1500,Electricity bill
2026-07-18,Transport,200,Fuel
2026-07-20,Food,400,Restaurant lunch
2026-07-22,Shopping,900,Clothes
2026-07-25,Food,320,Groceries
2026-07-28,Entertainment,350,Streaming subscription
2026-08-02,Food,500,Groceries - big bazaar
2026-08-04,Transport,150,Auto fare
2026-08-07,Food,600,Restaurant dinner
2026-08-09,Bills,1500,Electricity bill
2026-08-12,Food,280,Groceries
2026-08-15,Entertainment,650,Movie tickets
2026-08-18,Transport,180,Fuel
2026-08-20,Food,550,Restaurant lunch
2026-08-23,Food,300,Groceries
2026-08-26,Shopping,700,Shoes
2026-08-29,Food,420,Restaurant dinner
